127.0.0.1 - - [09/Sep/2019:09:22:15 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:22 +0200] "GET /my-starter-project/ HTTP/1.1" 500 6
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:22 +0200] "GET /my-starter-project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:22 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:23 +0200] "GET /my-starter-project/ HTTP/1.1" 200 103961
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:23 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:23 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:23 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-ef8bffb19c65190cfcd0.cache.js HTTP/1.1" 200 4794003
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:24 +0200] "GET /my-starter-project/ HTTP/1.1" 200 103964
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:25 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:27 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:28 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:29 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 53455
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:29 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:09:22:32 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=1 HTTP/1.1" 200 57051
