MCCMNC;MCC;Country;Region;CountryCode;IsoAlpha2;IsoAlpha3;Network;Parts;Prefix
20201;202;Greece;Europe;30;GR;GRC;Cosmote;20201;30697, 30698
20205;202;Greece;Europe;30;GR;GRC;Vodafone;20205, 20214;30694, 3094, 306950, 306951, 306955, 306956, 306957, 306958, 306959
20210;202;Greece;Europe;30;GR;GRC;Wind;20209, 20210;30693, 306906, 306907, 306908, 306909
20402;204;Netherlands;Europe;31;NL;NLD;Tele2;20402;316360, 316361, 316362, 316363, 316364, 316365, 31640, 3197008
20403;204;Netherlands;Europe;31;NL;NLD;Voiceworks;20403;
20404;204;Netherlands;Europe;31;NL;NLD;Vodafone;20404, 20418;31611, 31615, 31621, 31625, 31627, 31629, 31631, 31646, 31650, 31652, 31655, 316800, 316801, 316541, 316542, 316543, 316544, 316545, 316546, 316547, 316548, 316549, 316357, 316358, 316359, 3197001, 31970055, 31970056, 31970057, 31970058, 31970059, 31970140, 31970141, 31970142, 31970143, 31970144, 31970145, 31970146, 3197019, 316865, 316866, 31970001, 3197004
20405;204;Netherlands;Europe;31;NL;NLD;Elephant Talk;20405;
20406;204;Netherlands;Europe;31;NL;NLD;Vectone Mobile;20406;316590, 316591, 316592, 316593, 316594, 316595, 316596, 316597, 316598, 316868
20407;204;Netherlands;Europe;31;NL;NLD;Teleena;20407;316370, 316371, 316372, 316373, 316374, 316375
20408;204;Netherlands;Europe;31;NL;NLD;KPN B.V.;20408, 20410, 20469;31610, 31612, 31613, 31620, 31622, 31623, 31630, 31651, 31653, 31657, 316587, 316588, 316589, 31682, 31683, 3197002, 3197003, 3197011, 3197012, 3197013, 3197016, 3197017, 3197018, 3197020, 3197021, 3197022, 31637, 31970002, 31970068, 3197030
20409;204;Netherlands;Europe;31;NL;NLD;Lycamobile;20409;31684, 31685, 316860, 316861, 316862, 316863, 316864, 31687
20412;204;Netherlands;Europe;31;NL;NLD;Telfort;20412;31616, 31617, 31619, 31626, 31633, 31644, 31645, 31647, 31649
20416;204;Netherlands;Europe;31;NL;NLD;T-Mobile;20415, 20416, 20420;31614, 31624, 316320, 316321, 316322, 31634, 31641, 31642, 31643, 316560, 316561, 31681, 31970050, 31970051, 31970052, 31970053, 31970054, 31970230, 31970231, 31970232, 31970233, 31970234
20417;204;Netherlands;Europe;31;NL;NLD;Intercity Zakelijk;20417;
20424;204;Netherlands;Europe;31;NL;NLD;Private Mobility;20424;316580
20428;204;Netherlands;Europe;31;NL;NLD;Lancelot;20428;
20601;206;Belgium;Europe;32;BE;BEL;Proximus;20601;32470, 32471, 32472, 32473, 32474, 32475, 32476, 32477, 32478, 32479, 32460, 32770001
20605;206;Belgium;Europe;32;BE;BEL;Telenet;20605;324681, 324682, 324683, 324684, 324685, 324680
20608;206;Belgium;Europe;32;BE;BEL;Nethys;20608;
20610;206;Belgium;Europe;32;BE;BEL;Mobistar;20610, 20606;32491, 32492, 32493, 32494, 32495, 32496, 32497, 32498, 32499, 32490, 32770005, 32049
20620;206;Belgium;Europe;32;BE;BEL;Base;20620, 20640, 20607;32484, 32485, 32486, 32487, 32488, 32483, 32489, 324665, 324666, 324667, 324671, 32770002, 324672
20630;206;Belgium;Europe;32;BE;BEL;Unleashed;20630;
