Id, NetworkId, MNC, TAPCode
1, 107, 1, 'GRCCO'
2, 524, 5, 'GRCPF'
3, 531, 9, 'GRCQT'
4, 531, 10, 'GRCSH'
5, 218, 8, NULL
6, 218, 10, NULL
7, 412, 2, NULL
8, 456, 12, NULL
9, 396, 15, NULL
10, 396, 16, NULL
12, 396, 20, NULL
13, 514, 4, NULL
18, 36, 1, 'BELTB'
19, 219, 20, 'BELKO'
20, 1279, 5, NULL
21, 266, 10, 'BELMO'
23, 43, 20, 'FRAF3'
24, 43, 21, NULL
25, 1280, 25, NULL
26, 43, 88, NULL
27, 168, 15, 'FRAFM'
28, 295, 26, NULL
29, 316, 1, 'FRAF1'
30, 316, 2, NULL
31, 316, 0, NULL
32, 361, 10, 'FRAF2'
33, 361, 13, NULL
34, 272, 1, 'MCOM1'
35, 272, 10, 'MCOM2'
36, 358, 3, 'ANDMA'
37, 123, 22, NULL
38, 161, 8, NULL
39, 167, 3, NULL
40, 167, 9, NULL
41, 206, 21, NULL
42, 232, 25, NULL
43, 365, 19, NULL
44, 415, 16, NULL
45, 437, 5, NULL
46, 437, 7, NULL
47, 1057, 18, NULL
48, 1058, 23, NULL
49, 510, 1, NULL
50, 510, 6, NULL
51, 510, 24, NULL
52, 536, 4, NULL
53, 237, 30, 'HUNH2'
54, 334, 1, 'HUNH1'
55, 512, 70, 'HUNVR'
56, 39, 90, 'BIHPT'
57, 347, 3, 'BIHER'
58, 353, 5, 'BIHMS'
59, 111, 1, 'HRVCN'
60, 410, 2, 'HRVT2'
61, 500, 10, 'HRVVI'
64, 445, 3, NULL
65, 451, 1, NULL
66, 498, 5, NULL
67, 184, 99, 'ITAH3'
68, 424, 1, 'ITASI'
69, 518, 10, 'ITAOM'
70, 532, 88, 'ITAWI'
71, 108, 3, NULL
72, 322, 10, NULL
73, 522, 1, NULL
74, 314, 3, NULL
75, 1306, 54, NULL
76, 385, 2, NULL
77, 386, 1, NULL
78, 385, 8, NULL
79, 440, 2, 'CZEET'
80, 393, 1, 'CZERM'
81, 507, 3, 'CZECM'
82, 324, 1, NULL
83, 442, 6, NULL
84, 397, 2, NULL
85, 397, 4, NULL
86, 192, 10, 'AUTHU'
87, 263, 1, 'AUTPT'
88, 263, 11, 'AUTMK'
89, 263, 2, NULL
90, 192, 5, 'AUTCA'
91, 263, 12, 'AUTON'
92, 409, 7, 'AUTTR'
93, 392, 3, 'AUTMM'
95, 239, 58, NULL
96, 207, 3, NULL
97, 208, 50, NULL
98, 63, 7, NULL
99, 194, 20, NULL
100, 321, 33, NULL
101, 443, 2, NULL
102, 443, 10, NULL
103, 443, 11, NULL
105, 391, 30, NULL
106, 391, 31, NULL
107, 391, 32, NULL
108, 476, 25, NULL
109, 515, 15, NULL
110, 187, 6, 'DNKHU'
111, 403, 1, 'DNKTD'
112, 403, 10, NULL
113, 450, 2, 'DNKDM'
114, 450, 77, 'DNKT2'
115, 457, 20, 'DNKIA'
116, 457, 30, 'DNKMX'
118, 186, 2, NULL
120, 406, 7, NULL
122, 454, 6, NULL
123, 454, 8, NULL
126, 459, 1, NULL
128, 460, 5, NULL
130, 452, 1, NULL
131, 460, 2, NULL
132, 460, 23, NULL
133, 7, 14, 'FINAM'
134, 137, 3, 'FINTA'
135, 137, 12, 'FIN2G'
136, 143, 5, 'FINRL'
137, 143, 21, 'FINES'
138, 458, 91, 'FINTF'
139, 305, 1, 'LTUOM'
140, 484, 2, 'LTUMT'
141, 485, 3, 'LTU03'
142, 225, 1, 'LVALM'
143, 363, 5, 'LVABT'
144, 408, 2, 'LVABC'
145, 18, 1, 'ESTEM'
146, 144, 2, 'ESTRE'
147, 411, 3, 'ESTRB'
148, 1339, 12, NULL
149, 86, 20, NULL
150, 1342, 19, NULL
151, 230, 35, NULL
152, 246, 2, NULL
